time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
0.0234	955388.5982	5273.4375	2.406258512	-1.591542152	20.15650675	0.195177382	-5.149841309	0.037477246	0.000224866	955388.4031	5278.587341	2.368781266	-1.591767018
0.078	955113.7885	5273.4375	2.404490764	-1.573873508	20.56057447	17.56596434	-4.463195801	0.005661632	0.049727597	955096.2225	5277.900696	2.398829132	-1.623601105
0.1326	954813.996	5273.4375	2.404490764	-1.568572944	22.49877473	9.758869076	-3.776550293	-0.039023838	-0.012945878	954804.2372	5277.21405	2.443514602	-1.555627066
0.1872	954514.2036	5273.4375	2.413329526	-1.549137657	26.58117439	-1.366241671	-1.029968262	-0.026982511	0.011468185	954515.5698	5274.467468	2.440312037	-1.560605842
0.2418	954239.3938	5273.4375	2.420400577	-1.535003016	24.08239965	9.954046457	-1.71661377	-0.002734154	0.00247353	954229.4398	5275.154114	2.423134732	-1.537476546
0.2964	953939.6014	5273.4375	2.423936117	-1.519101655	26.58117439	4.684257156	1.029968262	0.028418633	0.029939352	953934.9171	5272.407532	2.395517484	-1.549041007
0.351	953639.8089	5273.4375	2.422168346	-1.508500814	25.66602457	-6.831208353	2.403259277	0.015521158	0.004561575	953646.6401	5271.034241	2.406647189	-1.513062388
0.4056	953364.9991	5273.4375	2.422168346	-1.492599648	24.99754946	7.611917879	3.089904785	0.037035362	-0.009091026	953357.3872	5270.347595	2.385132984	-1.483508622
0.4602	953065.2067	5262.451172	2.418632811	-1.47493182	22.14419939	2.342128578	-5.493164063	-0.115994494	-0.002409282	953062.8646	5267.944336	2.534627305	-1.472522538
0.5148	952790.3969	5262.451172	2.434542791	-1.457264133	25.1054501	16.19972267	-5.493164063	-0.029550959	-0.045936991	952774.1972	5267.944336	2.46409375	-1.411327142
0.5694	952490.6045	5262.451172	2.439846159	-1.432529604	23.25454595	6.44085359	-4.463195801	0.028639575	-0.024124949	952484.1636	5266.914368	2.411206585	-1.408404654
0.624	952190.812	5262.451172	2.439846159	-1.411328791	25.66602457	-2.342128578	-2.746582031	-0.010964234	0.022615132	952193.1541	5265.197754	2.450810393	-1.433943923
0.6786	951916.0023	5262.451172	2.44338175	-1.39896174	25.533413	11.90582027	-1.373291016	0.015051656	0.01407021	951904.0964	5263.824463	2.428330093	-1.41303195
0.7332	951616.2098	5262.451172	2.445149548	-1.384828047	27.92011018	4.879434538	0.343322754	-0.002734154	0.012528269	951611.3304	5262.107849	2.447883702	-1.397356316
0.7878	951316.4173	5262.451172	2.448685153	-1.370694438	28.94316063	-4.879434538	1.71661377	-0.021155172	-0.006424753	951321.2968	5260.734558	2.469840325	-1.364269685
