num;time;msR;msPhiv;msPhin;msRt;estR;estv;estu;estRt;varR;varPhiv;varPhin;varRt;gamma;MSDgamma;phi0;a00;a01;a02;a10;a11;a12;a20;a21;a22;msX;msY;msZ;estX;estY;estZ;estVx;estVy;estVz;estDX;estDY;estDZ;estDVx;estDVy;estDVz;trueR;truePhiv;truePhin;trueRt;truePhivt;truePhint;trueX;trueY;trueZ;trueVx;trueVy;trueVz
1;0.0546;949882.1;-0.02278721;0.04373939;-5304.305;949885.8;-0.02257192;0.04332619;-5305.238;2.5716;0.00058707;0.00056654;1.75168;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;679632.7;595423.4;292995.7;679660.4;595597.5;292589.1;-3795.807;-3326.782;-1633.989;385.7;434.5;513.4;43.218;48.672;57.506;0;0;0;0;0;0;0;0;0;0;0;0
1;0.1092;949596.4;-0.0217182;0.04363306;-5302.572;949596.2;-0.02235271;0.04340456;-5304.74;2.2238;0.00050613;0.00048889;1.57993;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;678865.3;596037.6;292599.3;679302.4;595575.6;292525.1;-3794.588;-3327.432;-1633.88;332.6;374.4;442.9;43.216;48.651;57.493;0;0;0;0;0;0;0;0;0;0;0;0
1;0.1638;949307.2;-0.02185952;0.04350625;-5301.533;949306.8;-0.02225895;0.0434241;-5303.945;2.0021;0.00045551;0.00043946;1.70412;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;678782.7;595755.6;292426.7;679035.8;595462.7;292434.3;-3793.617;-3327.428;-1633.562;299.2;336.8;398;43.22;48.646;57.489;0;0;0;0;0;0;0;0;0;0;0;0
1;0.2184;949019.9;-0.02094499;0.04378406;-5299.106;949017.7;-0.02203932;0.04348426;-5302.37;1.8313;0.00041575;0.00040112;1.82899;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;677965.2;596241.9;292399.5;678684.5;595441.8;292354.2;-3791.952;-3327.075;-1633.031;273;307.3;363.2;43.231;48.638;57.488;0;0;0;0;0;0;0;0;0;0;0;0
1;0.273;948730.1;-0.02059279;0.04286207;-5297.721;948728.5;-0.02184145;0.0433984;-5300.628;1.7047;0.00038635;0.00037249;1.94976;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;677885.4;596347.4;291427.1;678396.9;595409;292149.8;-3790.432;-3326.386;-1632.309;253.6;285.4;337.2;43.239;48.631;57.491;0;0;0;0;0;0;0;0;0;0;0;0
1;0.3276;948441.4;-0.02122056;0.04320064;-5297.027;948439.5;-0.02177641;0.04337697;-5299.267;1.6148;0.00036566;0.00035183;1.99043;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;677912.6;595692.9;291762.7;678161.2;595276.3;292028.9;-3789.284;-3325.756;-1631.841;239.9;270;318.4;43.242;48.629;57.491;0;0;0;0;0;0;0;0;0;0;0;0
1;0.3822;948152.5;-0.02012024;0.04220167;-5296.334;948150.4;-0.02167629;0.04329868;-5298.238;1.5666;0.00035458;0.00034004;2.01932;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;677439.5;596352.2;290573.1;677925.9;595171;291850.9;-3788.422;-3325.184;-1631.666;232.3;261.7;307.7;43.245;48.625;57.493;0;0;0;0;0;0;0;0;0;0;0;0
1;0.4368;947859.3;-0.02098331;0.04463518;-5294.948;947861.1;-0.02163673;0.04338218;-5297.082;1.5244;0.00034448;0.0003294;2.03228;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;676857.1;595458.4;292798.7;677667.4;595016.1;291827.4;-3787.622;-3324.598;-1630.963;225.5;254.2;298;43.248;48.623;57.491;0;0;0;0;0;0;0;0;0;0;0;0
1;0.4914;947573.6;-0.02014893;0.04443226;-5293.562;947572.2;-0.02151001;0.04347338;-5295.731;1.4649;0.00032968;0.00031496;2.00374;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;676256;595899.7;292364.5;677357.6;594925.4;291793.3;-3787.108;-3323.44;-1630.133;215.7;243.2;284.9;43.252;48.616;57.487;0;0;0;0;0;0;0;0;0;0;0;0
1;0.546;947284.4;-0.01928148;0.04411713;-5291.83;947283.3;-0.02129068;0.04353521;-5294.239;1.4008;0.00031327;0.00029968;1.97014;0.00054;0.000265581123;0.99001075;-0.34079333;-0.00385033;0.94013035;0.71742557;0.64520228;0.26270622;-0.60758575;0.76400208;-0.2171183;675673.2;596365.8;291824;677006.3;594903.8;291714.8;-3787.067;-3321.416;-1629.513;205;230.9;271;43.257;48.602;57.482;0;0;0;0;0;0;0;0;0;0;0;0
