num;time;msR;msPhiv;msPhin;msRt;estR;estv;estu;estRt;varR;varPhiv;varPhin;varRt;gamma;MSDgamma;phi0;a00;a01;a02;a10;a11;a12;a20;a21;a22;msX;msY;msZ;estX;estY;estZ;estVx;estVy;estVz;estDX;estDY;estDZ;estDVx;estDVy;estDVz;trueR;truePhiv;truePhin;trueRt;truePhivt;truePhint;trueX;trueY;trueZ;trueVx;trueVy;trueVz
1;0.0546;788756;-0.08598672;0.45101618;-3113.758;788728.3;-0.08602447;0.45095096;-3115.97;2.3689;0.00052279;0.00051796;1.73607;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582068.6;396790.5;-354808.9;-582085.1;396768.3;-354745.1;2299.436;-1567.804;1401.375;282.3;366.8;408.8;31.932;41.487;46.125;0;0;0;0;0;0;0;0;0;0;0;0
1;0.1092;788579.2;-0.08596777;0.45052057;-3111.332;788564.5;-0.08600958;0.45083918;-3113.765;2.133;0.00044881;0.00044566;1.71714;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582082.7;396839;-354338.2;-581992.1;396723.9;-354583.2;2297.714;-1567.123;1400.058;242.5;314.9;351.7;31.927;41.482;46.121;0;0;0;0;0;0;0;0;0;0;0;0
1;0.1638;788408.2;-0.08588171;0.44994324;-3108.906;788398.3;-0.08598325;0.45065576;-3111.967;2.004;0.00039989;0.00039746;1.5946;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582096.2;396954.8;-353805.5;-581914.4;396703.8;-354363.6;2296.298;-1566.659;1398.903;216;280.5;313.6;31.919;41.476;46.12;0;0;0;0;0;0;0;0;0;0;0;0
1;0.2184;788234.5;-0.0858998;0.44954591;-3106.134;788230.3;-0.08596902;0.45046681;-3109.949;1.906;0.00036406;0.00036211;1.70671;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582098.3;396955.4;-353414.2;-581842.4;396676.2;-354139;2294.672;-1566.005;1397.818;196.6;255.3;285.6;31.917;41.473;46.121;0;0;0;0;0;0;0;0;0;0;0;0
1;0.273;788081.9;-0.08593953;0.44947624;-3102.668;788065.5;-0.08596485;0.45032406;-3106.271;1.8344;0.00033682;0.00033508;1.88616;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582024.7;396870;-353290.9;-581762.9;396632;-353952.4;2291.752;-1564.448;1396.172;181.9;236.2;264.2;31.919;41.473;46.122;0;0;0;0;0;0;0;0;0;0;0;0
1;0.3252;787908.8;-0.08593779;0.44883254;-3100.242;787899;-0.08596147;0.45013304;-3103.37;1.7893;0.00031444;0.00031299;1.90656;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582093.7;396945.5;-352705.7;-581697.3;396598.5;-353727;2289.299;-1563.189;1395.156;169.8;220.4;246.8;31.915;41.47;46.122;0;0;0;0;0;0;0;0;0;0;0;0
1;0.3798;787689;-0.08574847;0.44760003;-3097.124;787730;-0.08594291;0.44989797;-3103.056;1.7717;0.00030044;0.00029823;1.91546;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582224.6;397267.1;-351635.1;-581636.6;396584.7;-353465.7;2288.633;-1563.036;1395.727;162;210.5;235.1;31.908;41.464;46.12;0;0;0;0;0;0;0;0;0;0;0;0
1;0.435;787571.9;-0.08583758;0.44806644;-3094.697;787563;-0.0859321;0.44970872;-3098.441;1.9062;0.00028452;0.00028256;2.28156;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582035;397033.2;-351950.7;-581566.7;396555.2;-353241.5;2284.716;-1560.688;1394.523;153.4;199.3;222.7;31.915;41.463;46.122;0;0;0;0;0;0;0;0;0;0;0;0
1;0.4896;787394.5;-0.08596427;0.44813847;-3091.232;787392.5;-0.08593415;0.44960751;-3095.045;1.9926;0.00027626;0.00027351;2.14373;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-581938.2;396842.8;-351928.6;-581472.8;396493.4;-353085.3;2281.756;-1559.095;1393.613;148.7;193.4;215.5;31.906;41.458;46.118;0;0;0;0;0;0;0;0;0;0;0;0
1;0.5442;787229.6;-0.08603613;0.44740092;-3088.806;787225.1;-0.08594351;0.44941178;-3091.825;1.9784;0.00026377;0.00026132;2.1845;0.00054;0.000265581123;0.99001075;0.0011693;0.00407407;-0.99999101;-0.76946682;0.63868451;0.00170232;0.6386857;0.76945792;0.00388168;-582073.7;396896.9;-351274;-581413.4;396452.1;-352856;2278.489;-1557.317;1393.815;142;184.6;205.8;31.898;41.45;46.113;0;0;0;0;0;0;0;0;0;0;0;0
